"","sp","time","value"
"584","Gurnard",2005,3.16e+08
"585","Plaice",2005,1.096e+11
"586","Haddock",2005,5.7162e+10
"587","Cod",2005,50261768625.3532
"588","Saithe",2005,1.245e+11
"589","Sprat",2006,1.3606e+11
"590","Sandeel",2006,2.85662e+11
"591","N.pout",2006,4.66e+10
"592","Herring",2006,5.14597e+11
"593","Dab",2006,9.189e+09
"594","Whiting",2006,2.0832e+10
"595","Sole",2006,1.26e+10
"596","Gurnard",2006,2e+08
"597","Plaice",2006,1.198e+11
"598","Haddock",2006,5.6056e+10
"599","Cod",2006,46351085947.1493
"600","Saithe",2006,1.257e+11
"601","Sprat",2007,1.00111e+11
"602","Sandeel",2007,2.27743e+11
"603","N.pout",2007,5.7e+09
"604","Herring",2007,4.06482e+11
"605","Dab",2007,9.432e+09
"606","Whiting",2007,2.0684e+10
"607","Sole",2007,1.46e+10
"608","Gurnard",2007,2.05e+08
"609","Plaice",2007,8.92e+10
"610","Haddock",2007,5.9643e+10
"611","Cod",2007,65185999939.2545
"612","Saithe",2007,1.012e+11
"613","Sprat",2008,7.7483e+10
"614","Sandeel",2008,3.45002e+11
"615","N.pout",2008,3.61e+10
"616","Herring",2008,2.5787e+11
"617","Dab",2008,8.029e+09
"618","Whiting",2008,1.9894e+10
"619","Sole",2008,1.41e+10
"620","Gurnard",2008,1.58e+08
"621","Plaice",2008,9.47e+10
"622","Haddock",2008,4.364e+10
"623","Cod",2008,61389862829.0148
"624","Saithe",2008,1.193e+11
"625","Sprat",2009,1.41369e+11
"626","Sandeel",2009,3.34837e+11
"627","N.pout",2009,5.45e+10
"628","Herring",2009,1.68443e+11
"629","Dab",2009,6.561e+09
"630","Whiting",2009,2.0897e+10
"631","Sole",2009,1.4e+10
"632","Gurnard",2009,2.01e+08
"633","Plaice",2009,1.002e+11
"634","Haddock",2009,4.3407e+10
"635","Cod",2009,63831367364.9416
"636","Saithe",2009,1.157e+11
"637","Sprat",2010,1.57151e+11
"638","Sandeel",2010,3.94122e+11
"639","N.pout",2010,1.26e+11
"640","Herring",2010,1.87611e+11
